ID_CELLA;CELLA_Y;CELLA_X;NORD_UTM;EST_UTM
1;1;1;4941500;455500
2;1;2;4941500;456500
3;1;3;4941500;457500
4;1;4;4941500;458500
5;1;5;4941500;459500
6;1;6;4941500;460500
7;1;7;4941500;461500
8;1;8;4941500;462500
9;1;9;4941500;463500
10;1;10;4941500;464500
11;1;11;4941500;465500
12;1;12;4941500;466500
13;1;13;4941500;467500
14;1;14;4941500;468500
15;1;15;4941500;469500
16;1;16;4941500;470500
17;1;17;4941500;471500
18;1;18;4941500;472500
19;1;19;4941500;473500
20;1;20;4941500;474500
21;1;21;4941500;475500
22;1;22;4941500;476500
23;1;23;4941500;477500
24;1;24;4941500;478500
25;1;25;4941500;479500
26;1;26;4941500;480500
27;1;27;4941500;481500
28;1;28;4941500;482500
29;1;29;4941500;483500
30;1;30;4941500;484500
31;1;31;4941500;485500
32;1;32;4941500;486500
33;1;33;4941500;487500
34;1;34;4941500;488500
35;1;35;4941500;489500
36;1;36;4941500;490500
37;1;37;4941500;491500
38;1;38;4941500;492500
39;1;39;4941500;493500
40;1;40;4941500;494500
41;1;41;4941500;495500
42;1;42;4941500;496500
43;1;43;4941500;497500
44;1;44;4941500;498500
45;1;45;4941500;499500
46;1;46;4941500;500500
47;1;47;4941500;501500
48;1;48;4941500;502500
49;1;49;4941500;503500
50;1;50;4941500;504500
51;1;51;4941500;505500
52;1;52;4941500;506500
53;1;53;4941500;507500
54;1;54;4941500;508500
55;1;55;4941500;509500
56;1;56;4941500;510500
57;1;57;4941500;511500
58;1;58;4941500;512500
59;1;59;4941500;513500
60;1;60;4941500;514500
61;1;61;4941500;515500
62;1;62;4941500;516500
63;1;63;4941500;517500
64;1;64;4941500;518500
65;1;65;4941500;519500
66;1;66;4941500;520500
67;1;67;4941500;521500
68;1;68;4941500;522500
69;1;69;4941500;523500
70;1;70;4941500;524500
71;1;71;4941500;525500
72;1;72;4941500;526500
73;1;73;4941500;527500
74;1;74;4941500;528500
75;1;75;4941500;529500
76;1;76;4941500;530500
77;1;77;4941500;531500
78;1;78;4941500;532500
79;1;79;4941500;533500
80;1;80;4941500;534500
81;1;81;4941500;535500
82;1;82;4941500;536500
83;1;83;4941500;537500
84;1;84;4941500;538500
85;1;85;4941500;539500
86;1;86;4941500;540500
87;1;87;4941500;541500
88;1;88;4941500;542500
89;1;89;4941500;543500
90;1;90;4941500;544500
91;1;91;4941500;545500
92;1;92;4941500;546500
93;1;93;4941500;547500
94;1;94;4941500;548500
95;1;95;4941500;549500
96;1;96;4941500;550500
97;1;97;4941500;551500
98;1;98;4941500;552500
99;1;99;4941500;553500
100;1;100;4941500;554500
101;1;101;4941500;555500
102;1;102;4941500;556500
103;1;103;4941500;557500
104;1;104;4941500;558500
105;1;105;4941500;559500
106;1;106;4941500;560500
107;1;107;4941500;561500
108;1;108;4941500;562500
109;1;109;4941500;563500
110;1;110;4941500;564500
111;1;111;4941500;565500
112;1;112;4941500;566500
113;1;113;4941500;567500
114;1;114;4941500;568500
115;1;115;4941500;569500
116;1;116;4941500;570500
117;1;117;4941500;571500
118;1;118;4941500;572500
119;1;119;4941500;573500
120;1;120;4941500;574500
121;1;121;4941500;575500
122;1;122;4941500;576500
123;1;123;4941500;577500
124;1;124;4941500;578500
125;1;125;4941500;579500
126;1;126;4941500;580500
127;1;127;4941500;581500
128;1;128;4941500;582500
129;1;129;4941500;583500
130;1;130;4941500;584500
131;1;131;4941500;585500
132;1;132;4941500;586500
133;1;133;4941500;587500
134;1;134;4941500;588500
135;1;135;4941500;589500
136;1;136;4941500;590500
137;1;137;4941500;591500
138;1;138;4941500;592500
139;1;139;4941500;593500
140;1;140;4941500;594500
141;1;141;4941500;595500
142;1;142;4941500;596500
143;1;143;4941500;597500
144;1;144;4941500;598500
145;1;145;4941500;599500
146;1;146;4941500;600500
147;1;147;4941500;601500
148;1;148;4941500;602500
149;1;149;4941500;603500
150;1;150;4941500;604500
151;1;151;4941500;605500
152;1;152;4941500;606500
153;1;153;4941500;607500
154;1;154;4941500;608500
155;1;155;4941500;609500
156;1;156;4941500;610500
157;1;157;4941500;611500
158;1;158;4941500;612500
159;1;159;4941500;613500
160;1;160;4941500;614500
161;1;161;4941500;615500
162;1;162;4941500;616500
163;1;163;4941500;617500
164;1;164;4941500;618500
165;1;165;4941500;619500
166;1;166;4941500;620500
167;1;167;4941500;621500
168;1;168;4941500;622500
169;1;169;4941500;623500
170;1;170;4941500;624500
171;1;171;4941500;625500
172;1;172;4941500;626500
173;1;173;4941500;627500
174;1;174;4941500;628500
175;1;175;4941500;629500
176;1;176;4941500;630500
177;1;177;4941500;631500
178;1;178;4941500;632500
179;1;179;4941500;633500
180;1;180;4941500;634500
181;1;181;4941500;635500
182;1;182;4941500;636500
183;1;183;4941500;637500
184;1;184;4941500;638500
185;1;185;4941500;639500
