ID_CELLA;UTM_EST;UTM_NORD
1;457000;4943000
2;461000;4943000
3;465000;4943000
4;469000;4943000
5;473000;4943000
6;477000;4943000
7;481000;4943000
8;485000;4943000
9;489000;4943000
10;493000;4943000
11;497000;4943000
12;501000;4943000
13;505000;4943000
14;509000;4943000
15;513000;4943000
16;517000;4943000
17;521000;4943000
18;525000;4943000
19;529000;4943000
20;533000;4943000
21;537000;4943000
22;541000;4943000
23;545000;4943000
24;549000;4943000
25;553000;4943000
26;557000;4943000
27;561000;4943000
28;565000;4943000
29;569000;4943000
30;573000;4943000
31;577000;4943000
32;581000;4943000
33;585000;4943000
34;589000;4943000
35;593000;4943000
36;597000;4943000
37;601000;4943000
38;605000;4943000
39;609000;4943000
40;613000;4943000
41;617000;4943000
42;621000;4943000
43;625000;4943000
44;629000;4943000
45;633000;4943000
46;637000;4943000
47;641000;4943000
48;645000;4943000
49;649000;4943000
50;653000;4943000
51;657000;4943000
52;661000;4943000
53;665000;4943000
54;669000;4943000
55;673000;4943000
56;677000;4943000
57;681000;4943000
58;685000;4943000
59;689000;4943000
60;693000;4943000
61;697000;4943000
62;457000;4947000
63;461000;4947000
64;465000;4947000
65;469000;4947000
66;473000;4947000
67;477000;4947000
68;481000;4947000
69;485000;4947000
70;489000;4947000
71;493000;4947000
72;497000;4947000
73;501000;4947000
74;505000;4947000
75;509000;4947000
76;513000;4947000
77;517000;4947000
78;521000;4947000
79;525000;4947000
80;529000;4947000
81;533000;4947000
82;537000;4947000
83;541000;4947000
84;545000;4947000
85;549000;4947000
86;553000;4947000
87;557000;4947000
88;561000;4947000
89;565000;4947000
90;569000;4947000
91;573000;4947000
92;577000;4947000
93;581000;4947000
94;585000;4947000
95;589000;4947000
96;593000;4947000
97;597000;4947000
98;601000;4947000
99;605000;4947000
100;609000;4947000
101;613000;4947000
102;617000;4947000
103;621000;4947000
104;625000;4947000
105;629000;4947000
106;633000;4947000
107;637000;4947000
108;641000;4947000
109;645000;4947000
110;649000;4947000
111;653000;4947000
112;657000;4947000
113;661000;4947000
114;665000;4947000
115;669000;4947000
116;673000;4947000
117;677000;4947000
118;681000;4947000
119;685000;4947000
120;689000;4947000
121;693000;4947000
122;697000;4947000
123;457000;4951000
124;461000;4951000
125;465000;4951000
126;469000;4951000
127;473000;4951000
128;477000;4951000
129;481000;4951000
130;485000;4951000
131;489000;4951000
132;493000;4951000
133;497000;4951000
134;501000;4951000
135;505000;4951000
136;509000;4951000
137;513000;4951000
138;517000;4951000
139;521000;4951000
140;525000;4951000
141;529000;4951000
142;533000;4951000
143;537000;4951000
144;541000;4951000
145;545000;4951000
146;549000;4951000
147;553000;4951000
148;557000;4951000
149;561000;4951000
150;565000;4951000
151;569000;4951000
152;573000;4951000
153;577000;4951000
154;581000;4951000
155;585000;4951000
156;589000;4951000
157;593000;4951000
158;597000;4951000
159;601000;4951000
160;605000;4951000
161;609000;4951000
162;613000;4951000
163;617000;4951000
164;621000;4951000
165;625000;4951000
166;629000;4951000
167;633000;4951000
168;637000;4951000
169;641000;4951000
170;645000;4951000
171;649000;4951000
172;653000;4951000
173;657000;4951000
174;661000;4951000
175;665000;4951000
176;669000;4951000
177;673000;4951000
178;677000;4951000
179;681000;4951000
180;685000;4951000
181;689000;4951000
182;693000;4951000
183;697000;4951000
184;457000;4955000
185;461000;4955000
186;465000;4955000
187;469000;4955000
188;473000;4955000
189;477000;4955000
190;481000;4955000
191;485000;4955000
192;489000;4955000
193;493000;4955000
194;497000;4955000
195;501000;4955000
196;505000;4955000
197;509000;4955000
198;513000;4955000
199;517000;4955000
200;521000;4955000
201;525000;4955000
202;529000;4955000
203;533000;4955000
204;537000;4955000
205;541000;4955000
206;545000;4955000
207;549000;4955000
208;553000;4955000
209;557000;4955000
210;561000;4955000
211;565000;4955000
212;569000;4955000
213;573000;4955000
214;577000;4955000
215;581000;4955000
216;585000;4955000
217;589000;4955000
218;593000;4955000
219;597000;4955000
220;601000;4955000
221;605000;4955000
222;609000;4955000
223;613000;4955000
224;617000;4955000
225;621000;4955000
226;625000;4955000
227;629000;4955000
228;633000;4955000
229;637000;4955000
230;641000;4955000
231;645000;4955000
232;649000;4955000
233;653000;4955000
234;657000;4955000
235;661000;4955000
236;665000;4955000
237;669000;4955000
238;673000;4955000
239;677000;4955000
240;681000;4955000
241;685000;4955000
242;689000;4955000
243;693000;4955000
244;697000;4955000
245;457000;4959000
246;461000;4959000
247;465000;4959000
248;469000;4959000
249;473000;4959000
250;477000;4959000
251;481000;4959000
252;485000;4959000
253;489000;4959000
254;493000;4959000
255;497000;4959000
256;501000;4959000
257;505000;4959000
258;509000;4959000
259;513000;4959000
260;517000;4959000
261;521000;4959000
262;525000;4959000
263;529000;4959000
264;533000;4959000
265;537000;4959000
266;541000;4959000
267;545000;4959000
268;549000;4959000
269;553000;4959000
270;557000;4959000
271;561000;4959000
272;565000;4959000
273;569000;4959000
274;573000;4959000
275;577000;4959000
276;581000;4959000
277;585000;4959000
278;589000;4959000
279;593000;4959000
280;597000;4959000
281;601000;4959000
282;605000;4959000
283;609000;4959000
284;613000;4959000
285;617000;4959000
286;621000;4959000
287;625000;4959000
288;629000;4959000
289;633000;4959000
290;637000;4959000
291;641000;4959000
292;645000;4959000
293;649000;4959000
294;653000;4959000
295;657000;4959000
296;661000;4959000
297;665000;4959000
298;669000;4959000
299;673000;4959000
300;677000;4959000
301;681000;4959000
302;685000;4959000
303;689000;4959000
304;693000;4959000
305;697000;4959000
306;457000;4963000
307;461000;4963000
308;465000;4963000
309;469000;4963000
310;473000;4963000
311;477000;4963000
312;481000;4963000
313;485000;4963000
314;489000;4963000
315;493000;4963000
316;497000;4963000
317;501000;4963000
318;505000;4963000
319;509000;4963000
320;513000;4963000
321;517000;4963000
322;521000;4963000
323;525000;4963000
324;529000;4963000
325;533000;4963000
326;537000;4963000
327;541000;4963000
328;545000;4963000
329;549000;4963000
330;553000;4963000
331;557000;4963000
332;561000;4963000
333;565000;4963000
334;569000;4963000
335;573000;4963000
336;577000;4963000
337;581000;4963000
338;585000;4963000
339;589000;4963000
340;593000;4963000
341;597000;4963000
342;601000;4963000
343;605000;4963000
344;609000;4963000
345;613000;4963000
346;617000;4963000
347;621000;4963000
348;625000;4963000
349;629000;4963000
350;633000;4963000
351;637000;4963000
352;641000;4963000
353;645000;4963000
354;649000;4963000
355;653000;4963000
356;657000;4963000
357;661000;4963000
358;665000;4963000
359;669000;4963000
360;673000;4963000
361;677000;4963000
362;681000;4963000
363;685000;4963000
364;689000;4963000
365;693000;4963000
366;697000;4963000
367;457000;4967000
368;461000;4967000
369;465000;4967000
370;469000;4967000
371;473000;4967000
372;477000;4967000
373;481000;4967000
374;485000;4967000
375;489000;4967000
376;493000;4967000
377;497000;4967000
378;501000;4967000
379;505000;4967000
380;509000;4967000
381;513000;4967000
382;517000;4967000
383;521000;4967000
384;525000;4967000
385;529000;4967000
386;533000;4967000
387;537000;4967000
388;541000;4967000
389;545000;4967000
390;549000;4967000
391;553000;4967000
392;557000;4967000
393;561000;4967000
394;565000;4967000
395;569000;4967000
396;573000;4967000
397;577000;4967000
398;581000;4967000
399;585000;4967000
400;589000;4967000
401;593000;4967000
402;597000;4967000
403;601000;4967000
404;605000;4967000
405;609000;4967000
406;613000;4967000
407;617000;4967000
408;621000;4967000
409;625000;4967000
410;629000;4967000
411;633000;4967000
412;637000;4967000
413;641000;4967000
414;645000;4967000
415;649000;4967000
416;653000;4967000
417;657000;4967000
418;661000;4967000
419;665000;4967000
420;669000;4967000
421;673000;4967000
422;677000;4967000
423;681000;4967000
424;685000;4967000
425;689000;4967000
426;693000;4967000
427;697000;4967000
428;457000;4971000
429;461000;4971000
430;465000;4971000
431;469000;4971000
432;473000;4971000
433;477000;4971000
434;481000;4971000
435;485000;4971000
436;489000;4971000
437;493000;4971000
438;497000;4971000
439;501000;4971000
440;505000;4971000
441;509000;4971000
442;513000;4971000
443;517000;4971000
